S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
19.1,261,67.3,13,11871,11871,16.8,47.7,30687,-1
42.5,265,36.3,13,710,710,6.8,39.4,1844,0
37.2,301,41.2,13,2274,2274,13.7,47.9,5410,0
42.5,7,45.0,13,1321,1321,11.0,48.0,3251,0
8.7,29,84.0,13,12366,12366,32.4,58.7,34883,1
23.1,35,64.7,13,8053,8053,10.5,45.2,23556,0
29.6,43,52.9,13,4061,4061,14.4,50.6,10894,0
10.0,39,82.8,13,18913,18913,23.6,51.7,52252,-1
13.7,45,75.9,13,41123,41123,19.6,54.7,114898,-1
17.9,79,65.8,13,4715,4715,13.2,45.8,12385,-1
38.6,99,52.9,13,4032,4032,17.0,45.0,10405,0
26.1,81,56.4,13,8312,8312,13.6,47.3,23005,0
26.0,69,59.9,13,14329,14329,14.1,48.2,43048,0
10.0,77,81.8,13,50531,50531,29.0,62.6,138015,1
5.6,67,87.9,13,274361,274361,45.5,66.0,739072,1
18.8,123,72.9,13,11468,11468,18.6,49.6,29614,-1
17.3,83,70.4,13,6089,6089,13.9,56.8,16282,-1
10.6,297,77.9,13,30488,30488,19.0,57.3,88695,-1
44.4,317,42.6,13,3971,3971,14.3,47.5,9905,0
19.6,27,71.5,13,6337,6337,13.6,46.3,15629,-1
35.1,91,53.2,13,7858,7858,14.6,44.5,21063,0
20.4,129,69.5,13,19959,19959,13.7,57.1,56424,-1
34.6,105,53.7,13,7730,7730,11.1,47.0,19288,0
5.6,57,90.8,13,83150,83150,35.7,64.3,235896,1
6.9,113,88.9,13,39604,39604,46.7,58.8,110306,-1
31.5,165,48.4,13,3375,3375,8.3,46.9,8929,0
10.6,177,83.1,13,10292,10292,25.7,60.5,29216,1
10.7,217,80.5,13,35823,35823,19.9,57.6,105042,-1
14.5,227,80.8,13,11379,11379,24.9,52.5,30343,-1
21.3,133,65.4,13,6793,6793,25.6,44.3,16732,-1
20.3,71,68.2,13,15599,15599,12.5,53.8,45890,-1
24.8,75,61.0,13,6065,6065,14.8,51.9,17190,0
9.8,85,81.5,13,8557,8557,31.1,55.9,23397,-1
10.0,63,75.6,13,91604,91604,19.1,60.0,274150,-1
