0,1,S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
-11.952298,3.2900016,10.7,71,79.8,6,623642,623642,19.8,53.9,2121220,-1
-12.418156,2.540947,5.6,85,89.8,6,630451,630451,50.0,63.5,1911226,-1
-8.883582,-6.6280656,6.9,41,89.3,6,104846,104846,57.5,61.3,260814,-1
-8.178125,-3.552786,6.8,61,87.6,6,138564,138564,37.5,57.0,374985,-1
-1.4059697,-0.0208257,16.8,93,76.0,6,19018,19018,22.7,46.2,43530,-1
5.0195856,1.7831085,23.5,71,67.0,8,6327,6327,20.2,51.0,14151,-1
8.28069,-4.877565,21.1,125,69.0,8,4053,4053,21.0,64.5,10109,-1
-2.407235,2.0000772,15.4,73,77.0,8,1477,1477,13.2,31.8,5520,-1
-7.4580297,-9.340513,6.8,107,88.8,8,9478,9478,51.6,71.2,24359,1
-6.795127,-9.626564,3.4,117,82.5,8,9455,9455,47.8,75.9,29722,-1
0.9083227,-1.6578072,18.5,3,68.6,8,6049,6049,26.2,51.7,16345,-1
-6.069442,-9.241343,6.8,19,82.5,8,4374,4374,46.4,66.0,9257,1
-0.7835062,1.1981908,17.8,29,71.5,8,12119,12119,19.4,45.2,30217,-1
-2.4639022,1.0408074,14.4,43,77.9,8,16762,16762,17.1,36.1,46601,-1
-2.8807287,-2.0599697,16.0,101,71.4,8,63489,63489,21.7,50.9,163368,-1
0.60945314,-1.8034631,17.2,85,73.2,8,16951,16951,23.4,52.1,40908,-1
3.5716763,-6.2169576,16.9,87,75.3,8,10599,10599,17.2,61.7,28123,1
-1.9781479,-8.941448,8.8,93,82.6,8,7389,7389,28.5,62.6,16900,1
-0.058899377,-1.5601722,17.0,109,68.2,8,2626,2626,26.0,48.6,6338,-1
-4.049546,-4.729437,10.7,77,83.5,8,60562,60562,27.2,57.7,148798,-1
3.5799835,-4.0666265,18.4,99,75.6,8,4913,4913,16.0,57.4,12084,-1
-3.352558,-5.912435,10.3,53,68.8,8,368,368,40.8,56.7,820,-1
-10.1008215,-1.482644,6.8,41,88.4,8,249745,249745,37.3,57.9,674826,1
3.2292304,-4.921898,15.4,121,74.5,8,2012,2012,16.6,57.3,4809,-1
-4.7829857,-9.598,10.0,49,86.2,8,5724,5724,38.4,70.5,14793,1
-10.301023,-2.0339005,6.0,5,87.1,8,235263,235263,41.6,67.3,626612,1
