"S0101_C01_001E","S1901_C01_012E","S2801_C02_011E","S2301_C04_001E","S0801_C01_046E","state","county"
19141,39863,20.2,6.2,27.1,"13","229"
17919,52377,14.1,9,33.7,"13","231"
201568,39430,18.1,11.6,20.5,"13","245"
14037,36556,24.3,5.5,31.1,"13","251"
25402,36355,18.6,4,24.9,"13","267"
19014,38297,22.9,9.4,23.8,"13","019"
28722,43663,18.7,7.2,33.6,"13","143"
63851,57999,15.7,6.5,30.8,"13","157"
15954,29640,31.5,8.5,25.8,"13","163"
28509,43944,23.3,4.3,27,"13","311"
28540,55110,14.5,8.7,26.9,"13","169"
7768,37711,32,6,33.3,"13","181"
39444,41617,17,7.4,27.3,"13","213"
198647,43239,15.9,10,20,"13","215"
11396,38750,26.8,6.7,19.3,"13","235"
16354,39297,24,5.7,21.6,"13","241"
5832,22413,35.5,11.8,26.8,"13","259"
11173,41182,22.2,6.8,19,"13","281"
6752,39375,31.5,5.6,26.1,"13","283"
8036,42622,25.4,6.5,21.6,"13","287"
9278,34677,33.6,7.4,20.4,"13","155"
8313,33063,31.4,8.4,22.9,"13","003"
18471,37089,25.9,7.7,22,"13","001"
68609,43581,19.3,7,28.4,"13","295"
889954,64496,5.4,5.8,33.1,"13","135"
75099,56119,11.9,6.8,33.2,"13","013"
12963,43257,23.6,10.4,33.7,"13","049"
6788,21838,36,9.1,18.5,"13","065"
102623,52393,12.7,6,27.9,"13","015"
140152,59333,8.1,7.9,32.7,"13","097"
25048,39462,21.5,8,25.3,"13","131"
14999,37267,24.6,5,23,"13","161"
8962,40308,22.5,6.6,21.3,"13","209"
14654,43938,27.6,5.8,28.5,"13","221"
7206,30640,29.7,8.9,21.4,"13","243"
88482,54175,9.2,8.7,29.5,"13","247"
35688,36962,19.1,4.6,19.2,"13","299"
29833,41534,20.6,9.5,23.4,"13","305"
7952,28490,66.9,9.1,24,"13","309"
103963,43871,18.6,8,20.5,"13","313"
6503,29617,31.8,14.9,22.6,"13","037"
13675,30851,29.9,16.8,27.3,"13","193"
69433,43597,18.6,8.9,23.2,"13","285"
8896,35457,39,7.6,27.2,"13","315"
45527,37008,21.7,9,21.7,"13","009"
18363,42182,27,6.6,30.2,"13","011"
73742,39305,12.8,9.3,21.6,"13","031"
123554,34557,12.3,7.6,19.4,"13","059"
3024,23315,35.4,20.3,29.6,"13","061"
4011,34315,34,5.5,26.8,"13","101"
83467,47546,15.2,6.7,19.3,"13","127"
736066,55876,8.4,8.5,31.9,"13","089"
153923,38183,18.8,10.4,21.1,"13","021"
33198,69539,12.8,8.5,26.1,"13","145"
8558,39015,29.4,10,32.3,"13","197"
5168,41267,19,14.2,24.1,"13","249"
20809,40369,24,9.7,26.3,"13","321"
12779,40688,26.7,7.7,24.2,"13","023"
14053,33389,31.5,10.5,21.5,"13","093"
10757,38736,22.5,6.6,23.6,"13","109"
22328,39246,24.1,6.3,25.8,"13","119"
2627,36658,32.5,4,25.8,"13","307"
57087,64279,9.8,5,31.1,"13","103"
18282,41157,17.8,11.4,29.6,"13","171"
3027,45273,25,3.3,31.3,"13","125"
22502,33089,24.4,10.3,27.9,"13","107"
2140,26750,37.6,12.1,21.8,"13","239"
285506,52215,11,8.7,21.8,"13","051"
13732,42067,20.7,7.2,32.6,"13","159"
9800,36423,30.2,11.4,28.6,"13","167"
10388,31109,26.3,10.6,24.1,"13","173"
62120,43493,8.7,11.9,21.6,"13","179"
28600,47653,23.1,8,26,"13","195"
22574,34122,27.3,15.2,23.5,"13","205"
8549,33999,31.9,7.3,22.4,"13","253"
40531,38728,27.4,3.9,19.9,"13","277"
8323,30629,38.7,6.3,32.3,"13","289"
41444,40652,16.6,7.2,26.2,"13","233"
6423,37226,32.1,8.2,34.5,"13","263"
8267,29875,30.5,14.1,28.9,"13","269"
8978,32219,26.3,10.4,24.9,"13","273"
44909,41336,18.2,9.3,20.5,"13","275"
27160,35750,27.7,10.3,19.4,"13","279"
9147,38711,32,8.8,26.3,"13","319"
17272,32344,29.3,5.2,17.5,"13","017"
22645,38707,19.1,5.8,26.4,"13","033"
65870,54537,13.6,5.4,23.3,"13","047"
11096,46096,14.8,15.2,15.5,"13","053"
24880,35718,24,9.5,25.2,"13","055"
143723,74162,7.9,5.8,25.2,"13","073"
27023,36934,36.4,6.5,24,"13","087"
96471,46096,18,7.5,22.3,"13","115"
196325,56395,14.9,6.8,25.3,"15","001"
990060,80078,10,4.5,29.1,"15","003"
164094,72762,11.4,4.9,21.2,"15","009"
71093,72330,12.7,4.4,22.4,"15","007"
86,61750,26.4,0,6.6,"15","005"
38241,33620,5,9.2,14.1,"16","065"
12490,39835,16.6,8.9,19.4,"16","079"
16275,40299,21.8,5.4,17.4,"16","049"
10776,55986,11.7,6.2,27.9,"16","081"
7667,47602,11.4,10.2,18.2,"16","077"
9996,37521,20.7,9.3,19.7,"16","087"
4284,43491,12,5.4,24.6,"16","071"
23472,48162,11.6,4.3,14.8,"16","031"
16850,42888,15,6,29.6,"16","045"
5296,46383,21.4,3.1,28.7,"16","063"
10104,54015,9,4.3,15.9,"16","085"
3946,42727,21,8.7,24.1,"16","003"
13120,51583,11.7,2.4,25,"16","041"
40014,51804,12.8,4.2,16,"16","069"
23039,46421,17.8,4.6,18,"16","053"
150128,53189,9.7,6.1,21.7,"16","055"
3824,40313,23.7,5.9,22.7,"16","061"
20448,48021,12.7,3.9,17.2,"16","067"
82248,49118,11.7,4.3,17.4,"16","083"
11384,36092,24.9,6.2,24,"16","073"
21583,58835,8.3,3.7,19.2,"16","013"
6968,49964,11.9,6,38.1,"16","015"
11323,39512,15.4,3.8,23.7,"16","021"
2613,43207,15.1,6.7,22.6,"16","023"
6862,58750,9.7,2.7,15.6,"16","029"
15110,42626,19.1,5.5,20.8,"16","047"
435117,60151,8.8,4.3,20.4,"16","001"
